sevenfold	septemplex
avenger	ultor
ever	umquam
raving	demens
mad	demens
silent	taceo
darkness	tenebrae
life	vita
concede	concedo
allow	concedo
withdraw	concedo
deceitful	pellax
jealousy	invidia
envy	invidia
assembly	concilium
union	concilium
flourish	vigeo
uninjured	incolumis
humble	pauper
poor	pauper
related	propinquus
near	propinquus
kinship	consanguinitas
companion	comes
grieve	lugeo
mourn	lugeo
futile	cassus
void	cassus
murder	nex
killing	nex
because	quia
evidence	indicium
information	indicium
innocent	insons
abandonment	proditio
betrayal	proditio
glory	gloria
renown	gloria
glorious	inclutus
famous	inclutus
palamedes	palamedes
belides	belides
reach	pervenio
bad	improbus
deceitful	mendax
false	mendax
invent	fingo
shape	fingo
sinon	sinon
refuse	nego
deny	nego
admit	fateor
confess	fateor
increase	cresco
grow	cresco
attack	impetus
compress	comprimo
angry	infensus
hostile	infensus
near	apud
finally	denique
survey	circumspicio
accusation	crimen
verdict	crimen
bold	fidens
trusting	fidens
voluntarily	ultro
beyond	ultro
furthermore	ultro
shepherd	pastor
behold	ecce
defile	foedo
greek	argolicus
argolic	argolicus
left	laevus
resound	insono
curved	curvus
machine	machina
construct	fabrico
conceal	occulto
hide	occulto
firewood	lignum
without	careo
think	puto
citizen	civis
madness	insania
laocoon	laocoon
then	ibi
there	ibi
uncertain	incertus
concealment	latebra
pierce	terebro
suspicious	suspectus
urge	hortor
within	intra
thymoetes	thymoetes
minerva	minerva
fatal	exitialis
destructive	exitialis
abandon	relinquo
abandon	desero
leave	desero
doricus	doricus
teucria	teucria
think	reor
abandoned	desertus
desolate	desertus
ship	carina
keel	carina
badly	male
standing	statio
tenedos	tenedos
armed	armatus
cavern	caverna
hollow	caverna
enclose	includo
stealthily	furtim
obtain	sortior
choose	deligo
revenue	reditus
return	reditus
establish	aedifico
erect	aedifico
build	aedifico
grief	luctus
mourning	luctus
dread	horreo
although	quamquam
damp	umidus
moist	umidus
ulysses	ulixes
soldier	miles
dolopes	dolopes
myrmidones	myrmidones
unearth	eruo
deplorable	lamentabilis
renew	renovo
refresh	renovo
restore	renovo
still	conticesco
error	error
wandering	error
ambush	insidiae
diomedes	diomedes
aurora	aurora
dawn	aurora
clapping	plausus
beating	plausus
repeat	ingemino
slow	tardus
color	tingo
dye	tingo
moisten	tingo
wet	tingo
hasten	propero
only	tantum
rainy	pluvius
arcturus	arcturus
moon	luna
atlas	atlans
gild	auro
sing	persono
iopas	iopas
elder	procer
chief	procer
aristocrat	procer
nobleman	procer
swallow	haurio
drink	haurio
drain	haurio
bitias	bitias
touch	attingo
favor	faveo
celebrate	celebro
frequent	celebro
giver	dator
host	hospes
stranger	hospes
guest	hospes
silence	silentium
accustomed	soleo
wine	merum
lamp	lychnus
hang	dependeo
court	atrium
atrium	atrium
become	fio
surround	corono
crown	corono
seated	reses
try	tento
begin	incipio
abolish	aboleo
gradually	paulatim
acidalian	acidalius
sink	insido
unaware	inscius
sometimes	interdum
embrace	complexus
unable	nequeo
dedicate	devoveo
plague	pestis
paint	pingo
word	verbum
burn	flagro
embroidered	pictus
swelling	torum
cushion	torum
couch	torum
bed	torum
often	frequens
servant	minister
attendant	minister
like	par
equal	par
construct	struo
victuals	penus
provision	penus
maidservant	famula
fiftieth	quinquaginta
fifty	quinquaginta
handcloth	mantele
finish	tondeo
shear	tondeo
baskets	canistra
basket	canistra
water	lympha
couch	sponda
curtain	aulaeum
embrace	complector
flower	flos
marjoram	amaracus
gentle	mollis
yielding	mollis
idalia	idalia
water	inrigo
rest	quies
sleep	quies
glad	gaudeo
strip	exuo
poison	venenum
inspire	inspiro
secret	occultus
hidden	occultus
lyaeus	lyaeus
wine	latex
liquor	latex
liquid	latex
bosom	gremium
lap	gremium
clothe	induo
deceive	fallo
generous	amplus
ample	amplus
large	amplus
spacious	amplus
holy	sacratus
idalium	idalium
cyther	cythera
summons	accitus
rehearse	meditor
think	meditor
cease	cesso
fear	vereor
delay	moror
pleasant	blandus
flattering	blandus
phoenissus	phoenissus
know	nosco
learn	nosco
bitter	acerbus
flee	confugio
typhoian	typhoeus
power	potentia
address	adfor
winged	aliger
therefore	ergo
cruel	atrox
terrible	atrox
burn	uro
doubtful	ambiguus
uncertain	ambiguus
fear	timeo
involve	implico
bone	os
burn	incendo
cupid	cupido
change	muto
face	facies
appearance	facies
crown	corona
garland	corona
gem	gemma
jewel	gemma
necklace	monile
neck	collum
leda	leda
marriage	hymenaeus
helen	helena
garment	velamen
covering	velamen
stiffen	rigeo
stiff	rigeo
cloak	palla
carve	caelo
work	laboro
talent	ars
skill	ars
feast	convivium
banquet	convivium
arrange	instruo
furnish	instruo
excess	luxus
splendid	splendidus
brilliant	splendidus
clear	splendidus
shining	splendidus
kingly	regalis
regal	regalis
duty	munus
gift	munus
lamb	agnus
pig	sus
bull	taurus
twentieth	viginti
twenty	viginti
announce	indico
proclaim	indico
learn	disco
finally	demum
follow	succedo
therefore	quare
why	quare
stalk	stirps
stem	stirps
born	orior
rise	orior
greek	pelasgus
pelasgian	pelasgus
inquire	cognosco
understand	cognosco
learn	cognosco
cyprus	cyprus
fertile	opimus
rich	opimus
belus	belus
paternal	patrius
expel	expello
propel	expello
sidon	sidon
anchises	anchises
danger	periculum
speak	loquor
sight	aspectus
serestus	serestus
always	semper
run	curro
river	fluvius
right	rectum
conscious	conscius
anywhere	usquam
scatter	spargo
everywhere	ubique
worthy	dignus
pay	persolvo
thanks	grates
share	socio
needy	egenus
exhaust	exhaurio
drain	exhaurio
only	solus
alone	solus
unforeseen	improvisus
stone	lapis
yellow	flavus
golden	flavus
ivory	ebur
youth	iuventa
mother	genetrix
handsome	decorus
suitable	decorus
fitting	decorus
oppose	resisto
clean	purgo
suddenly	repente
answer	respondeo
absent	absum
away	absum
address	compello
expel	eicio
present	adsum
drive	compello
trojan	tros
settle	consido
alike	pariter
eryx	eryx
so	adeo
enfeebled	obtusus
fire	incendium
courage	virtus
manliness	virtus
guardian	custos
newness	novitas
harsh	durus
hard	durus
speak	profor
say	profor
dardanides	dardanides
sicania	sicania
channel	fretum
straight	fretum
resist	resto
consume	absumo
reduce	absumo
join	apto
prepare	apto
remove	subduco
raise	subduco
compete	certo
fight	certo
duty	officium
service	officium
lie	occubo
still	adhuc
eat	vescor
unutterable	nefandus
lawful	fandus
proper	fandus
speakable	fandus
despise	temno
human	humanus
cause	cieo
permit	permitto
savage	barbarus
barbarous	barbarus
foreign	barbarus
so	tam
trackless	invius
insolent	procax
bold	procax
orion	orion
rainy	nimbosus
stormy	nimbosus
rise	adsurgo
small	parvus
soil	glaeba
clod	glaeba
udder	uber
hesperia	hesperia
pride	superbia
plunder	populo
prevent	prohibeo
righteousness	iustitia
begin	coepi
troops	copia
abundance	copia
publicly	coram
openly	coram
enter	introgredior
pardon	venia
plead	oro
pray	oro
relinquish	linquo
leave	linquo
surround	amicio
clothe	amicio
cover	amicio
watch	speculor
dissemble	dissimulo
conceal	dissimulo
unperceived	incognitus
unnoticed	incognitus
unknown	incognitus
happiness	laetitia
joy	laetitia
kill	percutio
strike	percutio
astonished	obstipesco
separate	dispello
sergestus	sergestus
crowd	concursus
concourse	concursus
fair	iustus
just	iustus
law	lex
shrink	resido
seat	solium
tortoise	testudo
joy	gaudium
test	pertempto
silent	tacitus
latona	latona
oreas	oreas
dance	chorus
dian	diana
cynthus	cynthus
ridge	iugum
yoke	iugum
bank	ripa
crowd	caterva
band	caterva
look	obtutus
bewildered	stupeo
wonderful	mirandus
trojan	dardanus
dardanian	dardanus
assemble	concurro
momma	mamma
girdle	cingulum
expose	exsero
golden	aureus
glow	ardeo
burn	ardeo
thousandth	mille
thousand	mille
penthesilea	penthesilea
amazonis	amazonis
memnon	memnon
wicked	niger
unlucky	niger
black	niger
edge	acies
eastern	eous
first	princeps
chief	princeps
unarmed	inermis
friendly	amicus
groan	gemitus
groaning	gemitus
certainly	vero
sell	vendo
lifeless	exanimus
breathless	exanimus
drag	rapto
beat	tundo
robe	peplum
mantle	peplum
explain	pando
hair	crinis
equal	aequus
spear	hasta
dust	pulvis
engage	congredior
meet	congredior
unequal	impar
unhappy	infelix
unfortunate	infelix
troilus	troilus
drink	bibo
taste	gusto
food	pabulum
camp	castra
killing	caedes
tent	tentorium
snowy	niveus
rhesus	rhesus
plumed	cristatus
crested	cristatus
phryges	phryges
youth	iuventus
greek	graecus
pergamum	pergama
river	flumen
moisten	umecto
ample	largus
void	inanis
empty	inanis
feed	pasco
painting	pictura
any	aliquis
some	aliquis
something	aliquis
someone	aliquis
touch	tango
fortunes	mortalia
glory	laus
praise	laus
reward	praemium
look	en
region	regio
weep	lacrimo
cry	lacrimo
both	ambo
priamus	priamus
circulate	vulgo
publish	vulgo
fight	pugna
battle	pugna
expect	opperior
wait	opperior
separate	singuli
review	lustro
survey	lustro
trust	confido
assured	confido
well	bene
dejected	adflictus
health	salus
hope	spero
alleviate	lenio
present	offero
offer	offero
hinge	cardo
door	foris
weave	necto
connect	necto
bind	necto
tie	necto
position	gradus
step	gradus
goddess	diva
opulent	opulentus
rich	opulentus
gift	donum
sidonian	sidonius
easy	facilis
uncommon	egregius
distinguished	egregius
royal	regius
sign	signum
impression	signum
mark	signum
wood	lucus
grove	lucus
extraordinary	mirabilis
wonderful	mirabilis
accept	suspicio
recognize	suspicio
happy	fortunatus
fortunate	fortunatus
lucky	fortunatus
fragrant	fragro
boil	ferveo
trough	praesaepe
manger	praesaepe
herd	pecus
drone	fucus
lazy	ignavus
burden	onus
load	onus
room	cella
nectar	nectar
extend	distendo
honey	mel
fluid	liqueo
mature	adultus
ripe	adultus
exercise	exerceo
train	exerceo
country	rus
flowery	floreus
bee	apis
glory	decus
ornament	decus
beauty	decus
column	columna
foundation	fundamentum
theater	theatrum
senate	senatus
consecrated	sanctus
read	lego
collect	lego
choose	lego
magistracy	magistratus
furrow	sulcus
roof	tectum
wall	murus
burning	ardens
coverlet	stratum
bedding	stratum
din	strepitus
noise	strepitus
huts	magalia
astonished	miror
wonder	miror
hill	collis
ascend	ascendo
lane	semita
breathe	halo
fresh	recens
garlands	serta
glow	caleo
warm	caleo
incense	tus
arabian	sabaeus
sabaean	sabaeus
temple	templum
paphos	paphos
demand	posco
delay	mora
devise	molior
neither	neu
nor	neu
encompass	circumfundo
cloud	nebula
enclose	saepio
dark	obscurus
covered	obscurus
accuse	incuso
return	reddo
why	cur
false	falsus
deceptive	falsus
son	natus
recognize	agnosco
walk	incessus
true	verus
real	verus
clothing	vestis
foot	pes
breathe	spiro
scent	odor
divine	divinus
ambrosial	ambrosius
neck	cervix
rosy	roseus
step	gressus
stepping	gressus
full	plenus
differently	aliter
otherwise	aliter
song	cantus
melody	cantus
seize	capio
row	ordo
disturb	turbo
bird	ales
zone	plaga
tract	plaga
heavenly	aetherius
swan	cycnus
glad	laetor
rejoice	laetor
prophecy	augurium
safety	tutum
announce	nuntio
endure	perfero
threshold	limen
only	modo
arrive	advenio
criticize	carpo
seize	carpo
pluck	carpo
vital	vitalis
whichever	quisquis
whoever	quisquis
interrupt	interfor
complain	queror
strike	pello
drive	pello
asia	asia
europ	europa
roam	peragro
wastes	deserta
destitute	egens
pluck	convello
bring	appello
luck	fors
chance	fors
olympus	olympus
vesper	vesper
empty	vaco
proceed	pergo
drag	traho
sigh	suspiro
journey	iter
where	quo
surround	circumdo
byrsa	byrsa
bottom	solum
traffic	mercor
rise	surgo
wife	femina
woman	femina
general	dux
